Origin_airport,Destination_airport,Origin_city,Destination_city,Flights,Distance,Origin_lat,Origin_long,Flight_duration,Destination_lat,Destination_long
IXJ,ATQ,Jammu,Amritsar,50,109,32.69,74.84,0.13625,31.71,74.8
IXJ,IXC,Jammu,Chandigarh,42,290,32.69,74.84,0.3625,30.67,76.79
IXJ,DED,Jammu,Dehradun,30,422,32.69,74.84,0.5275,30.19,78.18
IXJ,DEL,Jammu,Delhi,28,506,32.69,74.84,0.6325,28.56,77.1
IXJ,JAI,Jammu,Jaipur,95,657,32.69,74.84,0.82125,26.82,75.8
IXJ,UDR,Jammu,Udaipur,96,899,32.69,74.84,1.12375,24.58,73.68
IXJ,AMD,Jammu,Ahmedabad,26,1087,32.69,74.84,1.35875,23.03,72.58
IXJ,BOM,Jammu,Mumbai,21,1519,32.69,74.84,1.89875,19.08,72.88
IXJ,PNQ,Jammu,Pune,20,1566,32.69,74.84,1.9575,18.52,73.85
IXJ,GOI,Jammu,Goa,63,1920,32.69,74.84,2.4,15.2993,74.124
IXJ,LKO,Jammu,Lucknow,49,880,32.69,74.84,1.1,26.85,80.91
IXJ,VNS,Jammu,Varanasi,88,1119,32.69,74.84,1.39875,25.3176,82.9739
IXJ,PAT,Jammu,Patna,96,1269,32.69,74.84,1.58625,25.5941,85.1376
IXJ,RPR,Jammu,Raipur,32,1447,32.69,74.84,1.80875,21.2514,81.6296
IXJ,RNC,Jammu,Ranchi,27,1462,32.69,74.84,1.8275,23.3441,85.3095
IXJ,BBI,Jammu,Bhubaneswar,20,1758,32.69,74.84,2.1975,20.2961,85.8245
IXJ,CCU,Jammu,Kolkata,28,1740,32.69,74.84,2.175,22.5726,88.3639
IXJ,IXB,Jammu,Bagdogra,46,1464,32.69,74.84,1.83,26.677,88.3282
IXJ,HYD,Jammu,Hyderabad,82,1749,32.69,74.84,2.18625,17.385,78.4867
ATQ,IXJ,Amritsar,Jammu,63,109,31.71,74.8,0.13625,32.69,74.84
ATQ,IXC,Amritsar,Chandigarh,84,222,31.71,74.8,0.2775,30.67,76.79
ATQ,DED,Amritsar,Dehradun,23,365,31.71,74.8,0.45625,30.19,78.18
ATQ,DEL,Amritsar,Delhi,35,413,31.71,74.8,0.51625,28.56,77.1
ATQ,JAI,Amritsar,Jaipur,83,550,31.71,74.8,0.6875,26.82,75.8
ATQ,UDR,Amritsar,Udaipur,78,791,31.71,74.8,0.98875,24.58,73.68
ATQ,AMD,Amritsar,Ahmedabad,70,980,31.71,74.8,1.225,23.03,72.58
